1;DIFFERENTIAL AND INTEGRAL CALCULUS;FRANKLIN , PHILIP;515.3;II
2;DIFFERENTIAL GEOMETRY;STRUIK , DIRK J;516.37;II
3;CALCULUS WITH  ANALYTIC GEOMETRY;TYALOR  ANGUS E;515;II
4;DIFFERENTIAL GEOMETRY;STRUIK , DIRK J;516.37;II
5;CALCULUS AND ANALYTIC GEOMETRY;THOMAS , GEORGE B;515;II
6;MODERN COLLEGE ALGEBRA;VANCE , ELBRIDGE P;512;II
7;LEERBOEK DER DIFFFERENTIAAL EN INTERGRAALREKENING;SCHUH ,FRED;515;II
8;UNIVERSITY CALCULUS WITH ANALYTIC GEOMETRY;MORREY , CHARLES B;517;II
9;MODERN COLLEGE ALGEBRA;VANCE , ELBRIDGE P;512;II
10;MODERN COLLEGE ALGEBRA;VANCE , ELBRIDGE P;519;V
11;ECONOMETRICS;SCHMIDT ,STEPHEN J;330.182;V
12;KUMPULAN SOAL-SOAL HITUNG DIFERENSIAL DAN INTEGRAL;HWAN , H.K;517;II
13;HIGHER ALGEBRA FOR THE UNDERGRADUATE;WEISS MARIE J;512;II
14;MANAGEMENT INFORMATION SYSTEMS : CONCEPTUAL FOUNDANTIONS. STRUCTURE AND DEVELOPMENT;DAVIS , GORDON B;658.45;V
15;THE STRATEGY OF ECONOMIC DEVELOPMENT;HIRSMAN ,ALBERT O;338.9;V
16;DIFFERENTIAL GEOMETRY;STRUIK , DIRK J;516.73;II
17;DIFFERENTIAL AND INTEGRAL CALCULUS;COURANT , R;515.33;II
18;ESSETIALS OF MANAGEMENT SCIENCE OPERATIONS RESEARCH;BUFFA , ELWOOD S;658.4.034;V
19;DIFFERENTIAL AND INTEGRAL CALCULUS. VO. I;COURANT , R;515.33;II
20;ALGEBRA FOR COLLEGE STUDENTS;MIDDLEMISS , ROSS R;512;II
21;LISTRIK MAKNIT;HENDRAJAYA , LILIK;537;V
22;LECTURES IN ABSTRACT ALGEBRA;JACOBSON ,NATHAN;512;II
23;LINEAR ALGEBRA;SHIELDS , PAUL C;512.5;II
24;MANAGERIAL STATISTICS;HANSON , KERMIT O;658.562;V
25;LINEAR PROGRAMMING AND EXTENSIONS;DANTZIG ,GEORGE B;519.72;V
26;ALGEBRA FOR COLLEGE STUDENTS;MIDDLEMISS ,ROSS R;512;II
27;COMPLEX VARIABLES;SPIGEL , MURRAY;515.723;II
28;LECTURES IN ABSTRACT ALGEBRA;JACOBSON , NATHAN;512.02;II
29;MATHEMATICAL ANALYSIS A MODERN APPROACH TO ADVANCED CALCULUS;APOSTOL ,TOM M;515;II
30;AUTOMATIC CONTROL SYSTEMS;KUO , BENJAMIN C;512;II
31;COMPLEX VARIABLES AND THE LAPLACE TRANSFORM FOR ENGINEERS;LEPAGE , WILBER R;515.7;II
32;THEORY OF ELASTICITY;FILONENKO , M;531.382;V
33;ALJABAR LINIER DAN ILMU UKUR ANALITIK;SURJADI , PA;512.5;II
34;MULTIPLE GAUSSIAN HYPERGEOMETRIC SERIES;SRIVASTAVA ,H.M;515.55;II
35;NUMERICAL METHODS WITH FORTRAN IV CASE STUDIES;DORN , WILLIAM S;516;II
36;LAGERE ALGEBRA;WIJDENES ,P;512.5;II
37;SET THEORY AND RELATED TOPICS;LIPSCHUTZ;511.322;II
38;THEORY AND PROBLEM OF DIFFERENTIAL GEOMETRY;LIPSHUTZ ,MARTIN M;516.36;II
39;THEORY OF FUNCITIONS;RITT ,J.F;512.8;II
40;ENSIKLOPEDIA MATEMATIKA;NEGORO , ST;510.03;II
41;MATHEMATICAL MODELS;HABERMAN , RICHARD;511.8;II
42;ELEMEN-ELEMEN HINGGA SUATU PENGANTAR;BECKER , ERICK B;621;V
43;PROFESIONELE SOFTWARE VOORDE IBM PC;BOON , K.L;5;I
44;THEORY OF ELASTICITY;FILONENKO , M;531.382;V
45;INTRODUCTION TO OPTIMUM DESIGN;ARORA , JASBIR S;620.0045;V
46;MENGALOKASI DAN MENJADWAL SUMBER DAYA;MARTINO , R.L;333.7;V
47;MATEMATIKA CETAK MENCETAK;SCHEDER ,GEORGE;515.33;II
48;OPERATIONS RESEARCH;TAHA , HAMDY A;519;V
49;THEORY AND PROBLEMS OF COMPLEX VARIABLES;SPIEGEL , MURRAY R;515.7;II
50;THEORY AND PROBLEMS OF NUMERICAL ANALYSIS;SCHEID , FRANCIS;515;II
51;INTRODUCTION TO OPERATIONS RESEARCH;Hillier ,Frenderick S.;519;V
52;PENGANTAR KOMUNIKASI DATA;TANUTAMA , LUKAS S;5.71;I
53;OPERATIONS RESEARCH AND QUANTITATIVE ECONOMIC;THEIL , HENRI;519;V
54;PROBLEMS IN ANALYTIC GEOMETRY;KLETENIK , D;516.3;II
55;A COURSE IN THE THEORY OF STOCHASTIC PROCESSES;WENTZELL ,A.D;519.23;V
56;A DOCUMENT PREPARATION SYSTEM LATEX;LAMPORT , LESLIE;5.2;I
